sample_id	filename	coverage	total_gbp	download_url	s3_path	seq_plate_chemistry_version	library_id	instrument_model
HG00097	m84046_230716_051716_s3.hifi_reads.bc2086.bam	18.1	56.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam	s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam	C1	PG00097.HFSS_m84046_230716_051716_s3	Revio
HG00097	m84046_230716_054822_s4.hifi_reads.bc2086.bam	19.2	59.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam	s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam	C1	PG00097.HFSS_m84046_230716_054822_s4	Revio
HG00097	m84046_230718_223822_s1.hifi_reads.bc2086.bam	26.4	82.0	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam	s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam	C1	PG00097.HFSS_m84046_230718_223822_s1	Revio
HG00099	m84046_230517_211630_s4.hifi_reads.bc2012.bam	19.8	61.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam	s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam	C1	PG00099_1.HFSS_m84046_230517_211630_s4	Revio
HG00126	m84046_230602_203207_s4.hifi_reads.bc2043.bam	10.1	31.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam	s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam	C1	PG00126.HFSS_m84046_230602_203207_s4	Revio
HG00126	m84046_230617_043254_s3.hifi_reads.bc2043.bam	7.9	24.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam	s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam	C1	PG00126.HFSS_m84046_230617_043254_s3	Revio
HG00126	m84046_230617_050400_s4.hifi_reads.bc2043.bam	8.7	27.0	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam	s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam	C1	PG00126.HFSS_m84046_230617_050400_s4	Revio
HG00126	m84046_230621_231827_s1.hifi_reads.bc2043.bam	17.9	55.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam	s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam	C1	PG00126.HFSS_m84046_230621_231827_s1	Revio
HG00126	m84046_230621_234848_s2.hifi_reads.bc2043.bam	19.2	59.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam	s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam	C1	PG00126.HFSS_m84046_230621_234848_s2	Revio
HG00128	m84046_230602_203207_s4.hifi_reads.bc2044.bam	10.7	33.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam	s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam	C1	PG00128.HFSS_m84046_230602_203207_s4	Revio
