sample_id	filename	coverage	total_gbp	download_url	s3_path	filetype	instrument_model	read_length
HG00097	HG00097.final.cram	36.84	114.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/Illumina/child/HG00097.final.cram	s3://human-pangenomics/working/HPRC/HG00097/raw_data/Illumina/child/HG00097.final.cram	cram	Illumina NovaSeq 6000	150
HG00099	HG00099.final.cram	41.5	128.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00099/raw_data/Illumina/child/HG00099.final.cram	s3://human-pangenomics/working/HPRC/HG00099/raw_data/Illumina/child/HG00099.final.cram	cram	Illumina NovaSeq 6000	150
HG00126	HG00126.final.cram	45.04	139.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/Illumina/child/HG00126.final.cram	s3://human-pangenomics/working/HPRC/HG00126/raw_data/Illumina/child/HG00126.final.cram	cram	Illumina NovaSeq 6000	150
HG00128	HG00128.final.cram	47.57	147.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/Illumina/child/HG00128.final.cram	s3://human-pangenomics/working/HPRC/HG00128/raw_data/Illumina/child/HG00128.final.cram	cram	Illumina NovaSeq 6000	150
HG00133	HG00133.final.cram	54.96	170.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/Illumina/child/HG00133.final.cram	s3://human-pangenomics/working/HPRC/HG00133/raw_data/Illumina/child/HG00133.final.cram	cram	Illumina NovaSeq 6000	150
HG00140	HG00140.final.cram	36.68	113.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00140/raw_data/Illumina/child/HG00140.final.cram	s3://human-pangenomics/working/HPRC/HG00140/raw_data/Illumina/child/HG00140.final.cram	cram	Illumina NovaSeq 6000	150
HG00146	HG00146.final.cram	47.45	147.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/Illumina/child/HG00146.final.cram	s3://human-pangenomics/working/HPRC/HG00146/raw_data/Illumina/child/HG00146.final.cram	cram	Illumina NovaSeq 6000	150
HG002	HG002.novaseq.pcr-free.30x.R1.fastq.gz	17.33	53.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/raw_data/Illumina/child/HG002.novaseq.pcr-free.30x.R1.fastq.gz	s3://human-pangenomics/working/HPRC_PLUS/HG002/raw_data/Illumina/child/HG002.novaseq.pcr-free.30x.R1.fastq.gz	fastq	Illumina NovaSeq 6000	150
HG002	HG002.novaseq.pcr-free.30x.R2.fastq.gz	17.33	53.7	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/raw_data/Illumina/child/HG002.novaseq.pcr-free.30x.R2.fastq.gz	s3://human-pangenomics/working/HPRC_PLUS/HG002/raw_data/Illumina/child/HG002.novaseq.pcr-free.30x.R2.fastq.gz	fastq	Illumina NovaSeq 6000	150
HG00232	HG00232.final.cram	61.31	190.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/Illumina/child/HG00232.final.cram	s3://human-pangenomics/working/HPRC/HG00232/raw_data/Illumina/child/HG00232.final.cram	cram	Illumina NovaSeq 6000	150
