sample_id,hifi_revio_bam_files,hifi_revio_total_cov,ont_r1041_bam_files,ont_r1041_total_cov,illumina_file,illumina_cov,illumina_type,has_hifi_revio,has_ont_r1041,has_illumina,matched_all3,hifi_first_url,ont_first_url,illumina_url
HG00097,3,63.7,3,57.1,HG00097.final.cram,36.84,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG00097_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/Illumina/child/HG00097.final.cram
HG00099,1,19.8,0,0,HG00099.final.cram,41.5,cram,1,0,1,0,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam,,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00099/raw_data/Illumina/child/HG00099.final.cram
HG00126,5,63.8,3,70.9,HG00126.final.cram,45.04,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00126_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/Illumina/child/HG00126.final.cram
HG00128,4,66.3,3,59.5,HG00128.final.cram,47.57,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_7_23_R1041_HPRC_HG00128_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/Illumina/child/HG00128.final.cram
HG00133,6,66.0,3,66.0,HG00133.final.cram,54.96,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00133_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/Illumina/child/HG00133.final.cram
HG00140,2,19.8,0,0,HG00140.final.cram,36.68,cram,1,0,1,0,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_194051_s3.hifi_reads.bc1018.bam,,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00140/raw_data/Illumina/child/HG00140.final.cram
HG00146,2,72.6,6,76.0,HG00146.final.cram,47.45,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_182824_s3.hifi_reads.bc2013.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00146_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/Illumina/child/HG00146.final.cram
HG002,4,90.5,0,0,HG002.novaseq.pcr-free.30x.R2.fastq.gz,17.33,fastq,1,0,1,0,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/wMods/m84005_220827_014912_s1.hifi_reads.bam,,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/raw_data/Illumina/child/HG002.novaseq.pcr-free.30x.R2.fastq.gz
HG00232,6,62.3,8,92.0,HG00232.final.cram,61.31,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230623_202140_s1.hifi_reads.bc2014.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00232_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00232/raw_data/Illumina/child/HG00232.final.cram
HG00235,2,61.6,7,91.0,HG00235.final.cram,41.08,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_HiFi/m84091_230721_141900_s2.hifi_reads.bc1008.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00235/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_16_24_R1041_HPRC_HG00235_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00235/raw_data/Illumina/child/HG00235.final.cram
HG00253,2,64.9,6,79.4,HG00253.final.cram,39.75,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00253/raw_data/PacBio_HiFi/m84091_230721_134835_s1.hifi_reads.bc1003.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00253/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG00253_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00253/raw_data/Illumina/child/HG00253.final.cram
HG00272,4,67.8,3,62.3,HG00272.final.cram,49.34,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2087.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_08_23_R1041_HPRC_HG00272_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00272/raw_data/Illumina/child/HG00272.final.cram
HG00280,1,17.9,0,0,HG00280.final.cram,39.93,cram,1,0,1,0,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_HiFi/m84046_230628_213236_s2.hifi_reads.bc2051.bam,,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00280/raw_data/Illumina/child/HG00280.final.cram
HG00290,5,63.3,5,94.3,HG00290.final.cram,48.42,cram,1,1,1,1,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_204123_s2.hifi_reads.bc2052.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00290_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/Illumina/child/HG00290.final.cram
