sample_id,hifi_revio_total_cov,ont_r1041_total_cov,illumina_cov,hifi_first_url,ont_first_url,illumina_url
HG00097,63.7,57.1,36.84,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG00097_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/Illumina/child/HG00097.final.cram
HG00133,66.0,66.0,54.96,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00133_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/Illumina/child/HG00133.final.cram
HG00290,63.3,94.3,48.42,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/PacBio_HiFi/m84046_230627_204123_s2.hifi_reads.bc2052.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG00290_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00290/raw_data/Illumina/child/HG00290.final.cram
HG00321,61.2,76.9,60.18,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc2015.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_7_23_R1041_HPRC_HG00321_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00321/raw_data/Illumina/child/HG00321.final.cram
HG01167,62.5,66.7,50.27,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_HiFi/m84091_230725_164143_s3.hifi_reads.bc1012.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG01167_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01167/raw_data/Illumina/child/HG01167.final.cram
HG01786,73.6,79.9,57.26,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01786/raw_data/PacBio_HiFi/m84081_230616_172650_s1.hifi_reads.bc2012.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01786/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_28_23_R1041_HPRC_HG01786_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01786/raw_data/Illumina/child/HG01786.final.cram
HG02178,63.3,59.4,35.69,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02178/raw_data/PacBio_HiFi/m84091_230629_191221_s4.hifi_reads.bc1008.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02178/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/12_12_23_R1041_HPRC_HG02178_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02178/raw_data/Illumina/child/HG02178.final.cram
HG02392,62.2,76.8,35.91,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02392/raw_data/PacBio_HiFi/m84091_230629_181009_s2.hifi_reads.bc1002.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02392/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG02392_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02392/raw_data/Illumina/child/HG02392.final.cram
HG02583,64.9,79.4,46.15,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/raw_data/PacBio_HiFi/m84091_230707_183012_s4.hifi_reads.bc1016.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_7_23_R1041_HPRC_HG02583_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG02583/raw_data/Illumina/child/HG02583.final.cram
HG03270,64.6,73.8,61.15,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03270/raw_data/PacBio_HiFi/m84091_230707_175906_s3.hifi_reads.bc1015.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03270/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_24_23_R1041_HPRC_HG03270_4_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03270/raw_data/Illumina/child/HG03270.final.cram
HG03521,67.3,87.0,37.35,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03521/raw_data/PacBio_HiFi/m84046_230715_064007_s2.hifi_reads.bc2084.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03521/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_24_23_R1041_HPRC_HG03521_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03521/raw_data/Illumina/child/HG03521.final.cram
HG03874,61.6,84.4,38.11,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03874/raw_data/PacBio_HiFi/m84091_230712_163213_s1.hifi_reads.bc1012.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03874/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/01_23_24_R1041_HPRC_HG03874_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG03874/raw_data/Illumina/child/HG03874.final.cram
NA18508,61.3,79.7,51.25,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA18508/raw_data/PacBio_HiFi/m84046_230513_215634_s1.hifi_reads.bc2001.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA18508/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/09_12_23_R1041_HPRC_NA18508_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA18508/raw_data/Illumina/child/NA18508.final.cram
NA18952,76.3,76.1,37.69,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA18952/raw_data/PacBio_HiFi/m84081_230609_201402_s3.hifi_reads.bc2009.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA18952/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_28_23_R1041_HPRC_NA18952_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA18952/raw_data/Illumina/child/NA18952.final.cram
NA19036,64.3,91.5,53.82,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19036/raw_data/PacBio_HiFi/m84091_230718_161058_s2.hifi_reads.bc1022.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19036/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/12_05_23_R1041_HPRC_NA19036_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA19036/raw_data/Illumina/child/NA19036.final.cram
NA20809,59.1,69.9,36.31,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA20809/raw_data/PacBio_HiFi/m84081_230715_203436_s1.hifi_reads.bc2022.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA20809/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_08_23_R1041_HPRC_NA20809_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/NA20809/raw_data/Illumina/child/NA20809.final.cram
