sample_id,filename,coverage,total_gbp,n50,https_url
HG00097,10_31_23_R1041_HPRC_HG00097_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,21.08,69.57,92807,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG00097_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00097,10_31_23_R1041_HPRC_HG00097_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,18.14,59.85,86436,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG00097_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00097,10_31_23_R1041_HPRC_HG00097_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,17.87,58.99,87484,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_31_23_R1041_HPRC_HG00097_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00126,08_29_23_R1041_HPRC_HG00126_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,24.61,81.21,106499,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00126_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00126,08_29_23_R1041_HPRC_HG00126_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,23.61,77.92,107052,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00126_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00126,08_29_23_R1041_HPRC_HG00126_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,22.72,74.97,108239,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00126_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00128,11_7_23_R1041_HPRC_HG00128_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,19.34,63.81,93647,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_7_23_R1041_HPRC_HG00128_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00128,11_7_23_R1041_HPRC_HG00128_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,22.03,72.68,89307,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_7_23_R1041_HPRC_HG00128_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00128,11_7_23_R1041_HPRC_HG00128_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,18.15,59.89,94669,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_7_23_R1041_HPRC_HG00128_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00133,08_29_23_R1041_HPRC_HG00133_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,22.09,72.9,102081,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00133_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00133,08_29_23_R1041_HPRC_HG00133_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,21.87,72.17,105993,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00133_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00133,08_29_23_R1041_HPRC_HG00133_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,22.0,72.6,108810,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG00133_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
HG00146,11_14_23_R1041_HPRC_HG00146_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam,13.63,44.97,82974,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00146/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/11_14_23_R1041_HPRC_HG00146_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam
