sample_id,num_files,total_coverage,total_gbp
HG00097,3,57.1,188.4
HG00126,3,70.9,234.1
HG00128,3,59.5,196.4
HG00133,3,66.0,217.7
HG00146,6,76.0,250.8
HG00232,8,92.0,303.6
HG00235,7,91.0,300.5
HG00253,6,79.4,262.0
HG00272,3,62.3,205.7
HG00290,5,94.3,311.1
HG00320,3,77.4,255.5
HG00321,6,76.9,253.7
HG00329,3,90.7,299.2
HG00344,3,50.8,167.6
HG00350,3,80.2,264.5
HG01167,3,66.7,220.0
HG01786,3,79.9,263.8
HG02178,3,59.4,196.2
HG02392,3,76.8,253.4
HG02583,6,79.4,262.1
HG02818,3,65.8,217.0
HG03270,4,73.8,243.6
HG03369,3,57.2,188.7
HG03486,3,50.6,166.9
HG03521,3,87.0,286.9
HG03583,3,43.1,142.3
HG03784,3,57.4,189.5
HG03874,5,84.4,278.5
HG06807,3,71.9,237.2
NA18505,4,80.4,265.4
NA18508,3,79.7,263.0
NA18565,6,59.6,196.5
NA18608,3,76.8,253.5
NA18620,6,78.7,259.7
NA18879,3,54.7,180.4
NA18906,3,61.7,203.8
NA18940,4,94.1,310.5
NA18943,7,81.4,268.5
NA18944,4,99.5,328.3
NA18945,7,65.0,214.6
NA18948,5,94.1,310.6
NA18952,3,76.1,251.0
NA18959,3,69.0,227.6
NA18960,3,77.5,255.6
NA18967,4,65.9,217.3
NA18970,3,66.8,220.4
NA18974,4,85.2,281.1
NA18976,3,64.8,214.0
NA18982,4,61.9,204.2
NA19036,6,91.5,302.1
NA19240,3,73.9,244.0
NA19443,5,69.8,230.5
NA19682,4,86.8,286.5
NA19700,6,61.7,203.6
NA19776,3,90.7,299.2
NA19835,3,83.0,273.8
NA19909,3,79.9,263.6
NA20129,3,74.6,246.1
NA20282,3,68.4,225.7
NA20346,4,87.3,288.3
NA20503,3,63.2,208.6
NA20762,5,75.0,247.7
NA20806,4,95.5,315.3
NA20809,3,69.9,230.8
NA20827,5,84.6,279.2
NA20850,3,64.0,211.0
NA20870,3,79.3,261.6
NA21093,4,96.6,318.6
NA21102,5,59.8,197.3
NA21106,4,77.7,256.3
NA21110,3,80.9,267.1
NA21144,5,79.0,260.8
NA21309,3,73.1,241.1
